
1             2             3             4             5             6             7
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNSATISFIABLE UNSATISFIABLE UNKNOWN       UNKNOWN       UNSATISFIABLE UNKNOWN       UNSATISFIABLE 
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNSATISFIABLE UNKNOWN       UNKNOWN       UNKNOWN       UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE 
UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE 
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNSATISFIABLE UNKNOWN       
UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE 
UNKNOWN       UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE 
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNSATISFIABLE UNSATISFIABLE UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNSATISFIABLE 
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE 
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNSATISFIABLE UNSATISFIABLE UNKNOWN       UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE UNSATISFIABLE 
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNSATISFIABLE UNKNOWN       UNSATISFIABLE UNKNOWN       UNKNOWN       UNKNOWN       
UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       UNKNOWN       
