name,IP,LING ,sec., MB
200_01, 0  , SAT     , 189.9 , 45.2 
300_01, 0  , SAT     , 315.7 , 93.1 
400_01, 1  , UNKNOWN , - , - 
200_02, 2  , UNKNOWN , - , - 
300_02, 12 , UNKNOWN , - , - 
400_02, 16 , UNKNOWN , - , - 
200_03, 4  , UNSAT   , 70.2 , 45.2 
300_03, 13 , UNSAT   , 873.0 , 92.2 
400_03, 9  , UNSAT   , 88.1 , 173.3 
200_04, 7  , UNSAT   , 19.7 , 44.8 
300_04, 7  , UNSAT   , 33.6 , 93.1 
400_04, 19 , UNSAT   , 83.2 , 177.3 
200_05, 6  , UNSAT   , 543.7 , 71.6 
300_05, 29 , UNSAT   , 9.7 , 88.6 
400_05, 0  , SAT     , 2146.1 , 173.3 
200_06, 6  , UNKNOWN , - , -
300_06, 2  , UNKNOWN , - , -
400_06, 0  , SAT     , 605.4 , 173.3 
200_07, 0  , SAT     , 30.2 , 45.1 
300_07, 0  , SAT     , 122.6 , 92.4 
400_07, 4  , UNKNOWN , - , -462.3 
200_08, 8  , UNKNOWN , - , -391.5 
300_08, 8  , UNSAT   , 65.9 , 92.5 
400_08, 4  , UNKNOWN , - , -349.7 
200_09, 10 , UNSAT   , 350.4 , 49.3 
300_09, 7  , UNKNOWN , - , -290.7 
400_09, 5  , UNSAT   , 220.9 , 173.3 
200_10, 19 , UNSAT   , 9.9 , 44.4 
300_10, 21 , UNSAT   , 18.3 , 88.6 
400_10, 0  , SAT     , 468.1 , 177.3 
