inst , E1   ,   E2   ,  E3 , inst,    E1    ,  E2   ,  E3                     ,
p00    ,       -    ,   16.0    ,  5.0   ,   p54    ,       -     ,  58.5    ,  5.7   ,  
p01    ,       -    ,   15.9    ,  8.6   ,   p55    ,    622.3    ,  90.2    ,  11.1  ,
p02    ,       -    ,   17.9    ,  11.4  ,   p56    ,    756.1    ,  65.7    ,  13.5  ,
p03    ,       -    ,   19.4    ,  7.8   ,   p57    ,    981.2    ,  86.5    ,  8.6   ,
p04    ,       -    ,      -    ,     -  ,   p58    ,       -     ,  76.8    ,  11.1  ,
p05    ,       -    ,   50.5    ,  17.7  ,   p59    ,       -     ,  73.4    ,  11.4  ,
p06    ,       -    ,   19.6    ,  9.1   ,   p60    ,       -     ,  122.1   ,  6.0   ,
p07    ,       -    ,   8.9     ,  3.5   ,   p61    ,    118.7    ,  54.7    ,  5.7   ,
p08    ,       -    ,   18.0    ,  8.5   ,   p62    ,       -     ,  67.3    ,  5.9   ,
p09    ,    92.5    ,   40.3    ,  6.3   ,   p63    ,    1042.3   ,  140.9   ,  7.1   ,
p10    ,    53.4    ,   35.6    ,  5.2   ,   p64    ,       -     ,  106.0   ,  18.9  ,
p11    ,    104.6   ,   75.3    ,  6.0   ,   p65    ,       -     ,  87.6    ,  10.7  ,
p12    ,    60.6    ,   66.0    ,  5.7   ,   p66    ,       -     ,  125.3   ,  7.0   ,
p13    ,    66.5    ,   89.9    ,  3.0   ,   p67    ,       -     ,  131.8   ,  17.0  ,
p14    ,    115.1   ,   93.0    ,  6.3   ,   p68    ,    508.3    ,  64.8    ,  13.3  ,
p15    ,    88.8    ,   57.2    ,  5.9   ,   p69    ,       -     ,  54.9    ,  10.8  ,
p16    ,    76.7    ,   62.7    ,  5.6   ,   p70    ,       -     ,  111.4   ,  12.6  ,
p17    ,    93.1    ,   69.3    ,  6.0   ,   p71    ,       -     ,  119.8   ,  10.8  ,
p18    ,    91.5    ,   70.8    ,  5.4   ,   p72    ,       -     ,  140.8   ,  11.4  ,
p19    ,    79.2    ,   87.4    ,  6.4   ,   p73    ,       -     ,  108.0   ,  10.8  ,
p20    ,    47.0    ,   69.0    ,  5.5   ,   p74    ,    122.8    ,  54.1    ,  5.7   ,
p21    ,    208.4   ,   72.2    ,  6.6   ,   p75    ,       -     ,  76.1    ,  22.6  ,
p22    ,    76.3    ,   88.9    ,  5.9   ,   p76    ,       -     ,  101.4   ,  11.4  ,
p23    ,    95.2    ,   41.8    ,  6.8   ,   p77    ,       -     ,  49.9    ,  11.0  ,
p24    ,    142.1   ,   35.6    ,  6.1   ,   p78    ,       -     ,  92.4    ,  12.6  ,
p25    ,    176.5   ,   40.2    ,  10.2  ,   p200_01,       -     ,  202.4   ,  213.5 ,
p26    ,    149.4   ,   131.9   ,  5.5   ,   p200_02,       -     ,     -    ,     -  ,
p27    ,    70.1    ,   85.2    ,  7.7   ,   p200_03,       -     ,  159.8   ,  79.7  ,
p28    ,    63.8    ,   61.8    ,  7.6   ,   p200_04,    95.0     ,  42.9    ,  20.9  ,
p29    ,    91.0    ,   41.4    ,  10.8  ,   p200_05,       -     ,  449.3   ,  391.1 ,
p30    ,    241.2   ,   122.9   ,  9.6   ,   p200_06,       -     ,     -    ,     -  ,
p31    ,    532.0   ,   106.7   ,  6.5   ,   p200_07,       -     ,  390.6   ,  35.4  ,
p32    ,    97.0    ,   80.2    ,  5.9   ,   p200_08,       -     ,     -    ,     -  ,
p33    ,    158.9   ,   130.2   ,  6.5   ,   p200_09,    76.6     ,  125.3   ,  697.0 ,
p34    ,    116.9   ,   82.8    ,  6.1   ,   p200_10,    33.6     ,  77.4    ,  10.6  ,
p35    ,    94.2    ,   76.3    ,  6.7   ,   p300_01,       -     ,     -    ,  194.7 ,
p36    ,    319.0   ,   48.2    ,  5.5   ,   p300_02,       -     ,     -    ,     -  ,
p37    ,    361.2   ,   104.3   ,  6.7   ,   p300_03,    615.0    ,  653.3   ,  553.8 ,
