c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:        597077                                                                   |
c |  Number of clauses:          754139                                                                   |
c |  Parse time:                   0.22 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       66         0      151 |  597077   754139  1857700 |     1     8003      362     1996 |  0.000 % |
c |      130        72      153 |  597077   754139  1857700 |     3     7035      661    12964 |  0.000 % |
c |      189       122      158 |  597077   754139  1857700 |     3    17035      905    12964 |  0.000 % |
c |      231       186      173 |  597077   754139  1857700 |     4    17746     1104    22253 |  0.000 % |
c |      273       257      183 |  597077   754139  1857700 |     5    15885     1311    34114 |  0.000 % |
c |      328       303      182 |  597077   754139  1857700 |     5    25885     1503    34114 |  0.000 % |
c |      368       345      190 |  597077   754139  1857700 |     6    21514     1686    48485 |  0.000 % |
c |      397       402      201 |  597077   754139  1857700 |     6    31514     1880    48485 |  0.000 % |
c |      453       444      198 |  597077   754139  1857700 |     7    24461     2011    65538 |  0.000 % |
c |      495       506      202 |  597077   754139  1857700 |     7    34461     2138    65538 |  0.000 % |
c |      530       570      207 |  597077   754139  1857700 |     8    24838     2257    85161 |  0.000 % |
c |      554       603      216 |  597077   754139  1857700 |     8    34838     2382    85161 |  0.000 % |
c |      600       647      216 |  597077   754139  1857700 |     9    22635     2532   107364 |  0.000 % |
c |      626       694      223 |  597077   754139  1857700 |     9    32635     2689   107364 |  0.000 % |
c |      653       755      229 |  597077   754139  1857700 |     9    42635     2954   107364 |  0.000 % |
c |      701       831      228 |  597077   754139  1857700 |    10    27902     3087   132097 |  0.000 % |
c |      768       886      221 |  597077   754139  1857700 |    10    37902     3197   132097 |  0.000 % |
c |      831       923      216 |  597077   754139  1857700 |    10    47902     3284   132097 |  0.000 % |
c |      903       945      210 |  597077   754139  1857700 |    11    30457     3364   159542 |  0.000 % |
c |      956       977      209 |  597077   754139  1857700 |    11    40457     3419   159542 |  0.000 % |
c |      999      1055      210 |  597077   754139  1857700 |    11    50457     3588   159542 |  0.000 % |
c |     1046      1088      210 |  597077   754139  1857700 |    12    30457     3659   189542 |  0.000 % |
c |     1093      1133      210 |  597077   754139  1857700 |    12    40457     3771   189542 |  0.000 % |
c |     1147      1173      209 |  597077   754139  1857700 |    12    50457     3847   189542 |  0.000 % |
c |     1185      1230      210 |  597077   754139  1857700 |    12    60457     3959   189542 |  0.000 % |
c |     1231      1281      211 |  597077   754139  1857700 |    13    37828     4033   222171 |  0.000 % |
c |     1273      1348      212 |  597077   754139  1857700 |    13    47828     4201   222171 |  0.000 % |
c |     1329      1393      210 |  597077   754139  1857700 |    13    57828     4255   222171 |  0.000 % |
c |     1385      1423      209 |  597077   754139  1857700 |    13    67828     4320   222171 |  0.000 % |
c |     1428      1487      210 |  597077   754139  1857700 |    14    42686     4424   257313 |  0.000 % |
c |     1490      1524      208 |  597077   754139  1857700 |    14    52686     4477   257313 |  0.000 % |
c |     1535      1562      208 |  597077   754139  1857700 |    14    62686     4508   257313 |  0.000 % |
c |     1588      1616      207 |  597077   754139  1857700 |    14    72686     4569   257313 |  0.000 % |
c |     1617      1651      210 |  597077   754139  1857700 |    15    45223     4626   294776 |  0.000 % |
c |     1650      1723      212 |  597077   754139  1857700 |    15    55223     4712   294776 |  0.000 % |
c |     1705      1758      211 |  597077   754139  1857700 |    15    65223     4803   294776 |  0.000 % |
c |     1740      1793      212 |  597077   754139  1857700 |    15    75223     4819   294776 |  0.000 % |
c |     1770      1856      214 |  597077   754139  1857700 |    16    45069     4850   334930 |  0.000 % |
c |     1813      1874      215 |  597077   754139  1857700 |    16    55069     4880   334930 |  0.000 % |
c |     1871      1907      213 |  597077   754139  1857700 |    16    65069     4924   334930 |  0.000 % |
c |     1926      1961      212 |  597077   754139  1857700 |    16    75069     4969   334930 |  0.000 % |
c |     1971      2015      213 |  597077   754139  1857700 |    16    85069     5001   334930 |  0.000 % |
c |     2016      2087      213 |  597077   754139  1857700 |    17    51742     5039   378257 |  0.000 % |
