c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:         69971                                                                   |
c |  Number of clauses:          135929                                                                   |
c |  Parse time:                   0.05 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       50         0      200 |   34110   130329   294468 |     1     8009      157     1990 | 51.251 % |
c |      110         0      181 |   34110   130329   294468 |     3     6968      282    13031 | 51.251 % |
c |      177         0      169 |   34110   130329   294468 |     3    16968      382    13031 | 51.251 % |
c |      217         0      184 |   34110   130329   294468 |     4    17702      444    22297 | 51.251 % |
c |      279         0      179 |   34110   130329   294468 |     5    15867      523    34132 | 51.251 % |
c |      338         0      177 |   34110   130329   294468 |     5    25867      552    34132 | 51.251 % |
c |      408         0      171 |   34110   130329   294468 |     6    21441      608    48558 | 51.251 % |
c |      481         0      166 |   34110   130329   294468 |     6    31441      673    48558 | 51.251 % |
c |      567         0      158 |   34110   130329   294468 |     7    24429      745    65570 | 51.251 % |
c |      631         0      158 |   34110   130329   294468 |     7    34429      791    65570 | 51.251 % |
c |      718         0      153 |   34110   130329   294468 |     8    24841      855    85158 | 51.251 % |
c |      775         0      154 |   34110   130329   294468 |     8    34841      877    85158 | 51.251 % |
c |      820         0      158 |   34110   130329   294468 |     9    22639      901   107360 | 51.251 % |
c |      887         0      157 |   34110   130329   294468 |     9    32639      935   107360 | 51.251 % |
c |      925         0      162 |   34110   130329   294468 |     9    42639      958   107360 | 51.251 % |
c |     1005         0      159 |   34110   130329   294468 |    10    27844      989   132155 | 51.251 % |
c |     1089         0      156 |   34110   130329   294468 |    10    37844     1017   132155 | 51.251 % |
c |     1156         0      155 |   34110   130329   294468 |    10    47844     1049   132155 | 51.251 % |
c |     1206         0      157 |   34110   130329   294468 |    11    30442     1076   159557 | 51.251 % |
c |     1255         0      159 |   34110   130329   294468 |    11    40442     1098   159557 | 51.251 % |
c |     1344         0      156 |   34110   130329   294468 |    11    50442     1127   159557 | 51.251 % |
c |     1431         0      153 |   34103   130325   294456 |    12    30438     1184   189558 | 51.261 % |
c |     1484         0      154 |   34103   130325   294456 |    12    40438     1197   189558 | 51.261 % |
c |     1573         0      152 |   34103   130325   294456 |    12    50438     1227   189558 | 51.261 % |
c |     1639         0      152 |   34103   130325   294456 |    12    60438     1248   189558 | 51.261 % |
c |     1709         0      152 |   34103   130325   294456 |    13    37835     1270   222161 | 51.261 % |
c |     1772         0      152 |   34103   130325   294456 |    13    47835     1300   222161 | 51.261 % |
c |     1834         0      152 |   34103   130325   294456 |    13    57835     1323   222161 | 51.261 % |
c |     1896         0      152 |   34103   130325   294456 |    13    67835     1340   222161 | 51.261 % |
c |     1961         0      152 |   34103   130325   294456 |    14    42629     1363   257367 | 51.261 % |
c |     2051         0      151 |   34103   130325   294456 |    14    52629     1376   257367 | 51.261 % |
c |     2128         0      150 |   34103   130325   294456 |    14    62629     1412   257367 | 51.261 % |
c |     2192         0      150 |   34103   130325   294456 |    14    72629     1432   257367 | 51.261 % |
c |     2247         0      151 |   34103   130325   294456 |    15    44838     1446   295158 | 51.261 % |
c |     2314         0      151 |   34103   130325   294456 |    15    54838     1476   295158 | 51.261 % |
c |     2392         0      150 |   34103   130325   294456 |    15    64838     1490   295158 | 51.261 % |
c |     2450         0      151 |   34103   130325   294456 |    15    74838     1501   295158 | 51.261 % |
c |     2486         0      152 |   34103   130325   294456 |    16    44421     1504   335575 | 51.261 % |
c |     2522         0      154 |   34103   130325   294456 |    16    54421     1517   335575 | 51.261 % |
c |     2597         0      154 |   34103   130325   294456 |    16    64421     1535   335575 | 51.261 % |
c |     2651         0      154 |   34103   130325   294456 |    16    74421     1549   335575 | 51.261 % |
c |     2714         0      154 |   34103   130325   294456 |    16    84421     1561   335575 | 51.261 % |
c |     2779         0      154 |   34103   130325   294456 |    17    51434     1591   378562 | 51.261 % |
c |     2833         0      155 |   34103   130325   294456 |    17    61434     1612   378562 | 51.261 % |
