c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:        198080                                                                   |
c |  Number of clauses:          447890                                                                   |
c |  Parse time:                   0.14 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       78         0      128 |  107288   436690   980468 |     1     8008      334     1991 | 45.836 % |
c |      169         0      118 |  107288   436690   980468 |     3     6980      589    13019 | 45.836 % |
c |      271         0      110 |  107288   436690   980468 |     3    16980      776    13019 | 45.836 % |
c |      343         0      116 |  107288   436690   980468 |     4    17731      988    22268 | 45.836 % |
c |      437         0      114 |  107288   436690   980468 |     5    15892     1187    34107 | 45.836 % |
c |      529         0      113 |  107288   436690   980468 |     5    25892     1363    34107 | 45.836 % |
c |      610         0      114 |  107288   436690   980468 |     6    21503     1486    48496 | 45.836 % |
c |      705         0      113 |  107288   436690   980468 |     6    31503     1595    48496 | 45.836 % |
c |      788         0      114 |  107280   436682   980444 |     7    24484     1695    65514 | 45.840 % |
c |      869         0      115 |  107280   436682   980444 |     7    34484     1807    65514 | 45.840 % |
c |      966         0      113 |  107280   436682   980444 |     8    24882     1889    85116 | 45.840 % |
c |     1033         0      116 |  107280   436682   980444 |     8    34882     1978    85116 | 45.840 % |
c |     1125         0      115 |  107280   436682   980444 |     9    22931     2056   107067 | 45.840 % |
c |     1211         0      115 |  107280   436682   980444 |     9    32931     2141   107067 | 45.840 % |
c |     1297         0      115 |  107280   436682   980444 |     9    42931     2203   107067 | 45.840 % |
c |     1379         0      116 |  107280   436682   980444 |    10    28038     2271   131960 | 45.840 % |
c |     1478         0      115 |  107280   436682   980444 |    10    38038     2353   131960 | 45.840 % |
c |     1571         0      114 |  107280   436682   980444 |    10    48038     2430   131960 | 45.840 % |
c |     1639         0      115 |  107280   436682   980444 |    11    30919     2494   159079 | 45.840 % |
c |     1725         0      115 |  107280   436682   980444 |    11    40919     2560   159079 | 45.840 % |
c |     1786         0      117 |  107280   436682   980444 |    11    50919     2625   159079 | 45.840 % |
c |     1882         0      116 |  107280   436682   980444 |    12    31619     2713   188379 | 45.840 % |
c |     1958         0      117 |  107280   436682   980444 |    12    41619     2748   188379 | 45.840 % |
c |     2061         0      116 |  107280   436682   980444 |    12    51619     2860   188379 | 45.840 % |
c |     2174         1      114 |  107280   436682   980444 |    12    61619     2923   188379 | 45.840 % |
c |     2274         1      114 |  107280   436682   980444 |    13    39292     2996   220706 | 45.840 % |
c |     2360         1      114 |  107280   436682   980444 |    13    49292     3061   220706 | 45.840 % |
c |     2445         1      114 |  107280   436682   980444 |    13    59292     3096   220706 | 45.840 % |
c |     2540         1      114 |  107280   436682   980444 |    13    69292     3137   220706 | 45.840 % |
c |     2594         2      115 |  107280   436682   980444 |    14    44695     3177   255303 | 45.840 % |
c |     2693         2      115 |  107280   436682   980444 |    14    54695     3211   255303 | 45.840 % |
c |     2762         2      115 |  107280   436682   980444 |    14    64695     3258   255303 | 45.840 % |
c |     2821         2      116 |  107280   436682   980444 |    14    74695     3301   255303 | 45.840 % |
c |     2880         4      118 |  107280   436682   980444 |    15    46629     3354   293369 | 45.840 % |
c |     2931         4      119 |  107280   436682   980444 |    15    56629     3392   293369 | 45.840 % |
c |     3021         5      119 |  107280   436682   980444 |    15    66629     3424   293369 | 45.840 % |
c |     3097         5      119 |  107280   436682   980444 |    15    76629     3457   293369 | 45.840 % |
c |     3165         5      120 |  107280   436682   980444 |    16    45956     3496   334042 | 45.840 % |
c |     3193         8      122 |  107280   436682   980444 |    16    55956     3525   334042 | 45.840 % |
c |     3253         8      122 |  107280   436682   980444 |    16    65956     3562   334042 | 45.840 % |
c |     3318         8      123 |  107280   436682   980444 |    16    75956     3592   334042 | 45.840 % |
c |     3384        10      124 |  107280   436682   980444 |    16    85956     3632   334042 | 45.840 % |
c |     3437        10      125 |  107280   436682   980444 |    17    53845     3654   376153 | 45.840 % |
c |     3522        11      124 |  107280   436682   980444 |    17    63845     3698   376153 | 45.840 % |
